ID01;M.;ALAIN;CLEMENT;M;21/02/1970;;B+;FRANCE;EUROPE;EPINAY;EPINAY;27330;HAUTE-NORMANDIE;EURE;27;48.978759462, 0.641805752881;75 KG;1,6 M;21/02/1970
ID02;MME;INÈS;MIGNONNE;F;;01/01/2020;A;FRANCE;EUROPE;EPINAY-CHAMPLATREUX;EPINAY CHAMPLATREUX;95270;ILE-DE-FRANCE;VAL-D''OISE;95;49.0900262096, 2.40710033598;60 KG;1,67 M;
ID03;M.;OMAR;BELLE;M;;?@;R;FRANCE;EUROPE;EPINAY-SOUS-SENART;EPINAY SOUS SENART;91860;ILE-DE-FRANCE;ESSONNE;91;48.6871527113, 2.51577225491;56 KG;1,72 M;
ID04;M.;RAYAN;MIGNONNE;M;10/06/1961;RAYAN.MIGNONNE@HOTMAIL.COM;A-;FRANCE;;EPINAY-SUR-DUCLAIR;EPINAY SUR DUCLAIR;76480;HAUTE-NORMANDIE;SEINE-MARITIME;76;49.5253630622, 0.835855173591;89 KG;1,85 M;10/06/1961
ID05;MME;EVE;AIMANT;F;;EVE.AIMANT@GMAIL.COM;1;FRANCE;EUROPE;EPINAY-SUR-ODON;EPINAY SUR ODON;14310;BASSE-NORMANDIE;CALVADOS;14;49.0688314523, -0.61907881728;65 KG;1,62 M;
ID06;M.;ALAIN;MOUSTAFA;M;26/12/1969;ALAIN.MOUSTAFA@YAHOO.FR;++;FRANCE;EUROPE;EPINAY-SUR-ORGE;EPINAY SUR ORGE;91360;ILE-DE-FRANCE;ESSONNE;91;48.672618112, 2.31834586071;71 KG;1,76 M;26/12/1969
ID07;MME;SABRINE;PRINTEMPS;F;14/11/1962;SABRINE.PRINTEMPS@HOTMAIL.COM;AB+;FRANCE;EUROPE;EPINAY-SUR-SEINE;EPINAY SUR SEINE;93800;ILE-DE-FRANCE;SEINE-SAINT-DENIS;93;48.9550132062, 2.31453043227;90 KG;1,83 M;14/11/1962
ID08;MME;CLÉMENT;DELOIN;A+;14/11/1962;CLÉMENT.DELOIN@GMAIL.COM;AB+;FRANCE;EUROPE;EPINEAU-LES-VOVES;EPINEAU LES VOVES;89400;BOURGOGNE;YONNE;89;47.9468458779, 3.46998413291;76 KG;1,56 M;14/11/1962
ID09;MME;EMNA;AIMANT;F;14/04/1970;EMNA.AIMANT@HOTMAIL.COM;++;FRANCE;EUROPE;EPINEUIL;EPINEUIL;89700;BOURGOGNE;YONNE;89;47.8812855119, 3.98935069483;87 KG;1,66 M;14/04/1970
ID10;MME;CLAIRE;EXCELLE;F;02/03/1970;CLAIRE.EXCELLE@GMAIL.COM;AB-;FRANCE;EUROPE;EPINEUIL-LE-FLEURIEL;EPINEUIL LE FLEURIEL;18360;CENTRE;CHER;18;46.5709100191, 2.55643995578;84 KG;1,54 M;02/03/1970
ID11;M.;MAMADOU;MOUSTAFA;M;02/03/1970;MAMADOU.MOUSTAFA@GMAIL.COM;A+;FRANCE;EUROPE;EPINEU-LE-CHEVREUIL;EPINEU LE CHEVREUIL;72540;PAYS DE LA LOIRE;SARTHE;72;48.0405286412, -0.132212278805;80 KG;1,75 M;02/03/1970
ID12;M.;JEAN;JOLIE;M;28/12/1978;01/01/2020;AB+;FRANCE;EUROPE;EPINEUSE;EPINEUSE;60190;PICARDIE;OISE;60;49.400292993, 2.5501491477;90 KG;1,58 M;28/12/1978
